Brand,Store Name,Street Address,City,State/Province,Country
Starbucks,Fry's #78 Anthem,39508 N. Daisy Mountain Drive,Anthem,AZ,US
Starbucks,"Anthem & I-17, Anthem",3640 W. Anthem Way,Anthem,AZ,US
Starbucks,Daisy Mountain & Gavilan Peak,"39504 N. Daisy Mountain Drive, #118",Anthem,AZ,US
Starbucks,"Fry's-Apache Junction, AZ #65",185 W Apache Tr,Apache Junction,AZ,US
Starbucks,Apache Trail & Delaware,2580 W. Apache Trail,Apache Junction,AZ,US
Starbucks,Frys - Avondale #112,"1575 N Dysart Rd, Gateway Pavillions",Avondale,AZ,US
Starbucks,McDowell & 99th Avenue,"10030 W  McDowell Rd, Ste 160",Avondale,AZ,US
Starbucks,"115th Ave. & Buckeye, Avondale","11435 W. Buckeye Road, A101, Westwind Plaza",Avondale,AZ,US
Starbucks,"Indian School & 107 Ave, Avondale",10585 W. Indian School Rd,Avondale,AZ,US
Starbucks,Safeway-Benson #1275,599 W 4th St,Benson,AZ,US
Starbucks,Safeway - Bisbee #261,101 NACO HIGHWAY,Bisbee,AZ,US
Starbucks,Frys-Buckeye #675,1300 S. Watson Rd.,Buckeye,AZ,US
Starbucks,Safeway-Bullhead City #248,1751 Highway 95,Bullhead City,AZ,US
Starbucks,Target Bullhead City T-2368,"3699 Hwy 95, Kokopelli Plaza",Bullhead City,AZ,US
Starbucks,"I-17 & Hwy 260, Camp Verde","1620 W. Highway 260, #A",Camp Verde,AZ,US
Starbucks,Bashas  camp Verde #49,650 Finney Flat Rd,Camp Verde,AZ,US
Starbucks,Bashas 66 Carefree,36889 TOM DARLINGTON,Carefree,AZ,US
Starbucks,Safeway-Casa Grande #1706,1637 N Trekel Rd,Casa Grande,AZ,US
Starbucks,"Florence & Peart, Casa Grande","1485 E. Florence Blvd., #6",Casa Grande,AZ,US
Starbucks,Fry's #669 Casa Grande,2858 North Pinal Avenue,Casa Grande,AZ,US
Starbucks,Fry's #67 Cave Creek,4815 E. Carfree highway,Cave Creek,AZ,US
Starbucks,Carefree Hwy & Cave Creek Rd,5310 E Carefree Hwy,Cave Creek,AZ,US
Starbucks,Fry's #474 Phoenix,29455 N Cave Creek Rd,Cave Creek,AZ,US
Starbucks,Fry's Chandler #681,Gilbert & Ocotillo,Chandler,AZ,US
Starbucks,"Ray Road & Loop 101, Chandler","2885 W. Ray Road, #1",Chandler,AZ,US
Starbucks,"Alma School & Elliot Rd, Chandler","985 West Elliot Road, 7, The Village at Chandler Fashion Center",Chandler,AZ,US
Starbucks,"Chandler & Price Road, Phoenix",3161 W Chandler Blvd,Chandler,AZ,US
Starbucks,Gilbert & Ocotillo,"4095 S. Gilbert Road, Suite 1",Chandler,AZ,US
