from_id;to_id;fromid_toid;route_number;at;from_x;from_y;to_x;to_y;total_route_time;route_time;route_total_lines
5861326;5785640;5861326_5785640;1;8:10;33;11;44;38;125;99;2
5861326;5785641;5861326_5785641;1;8:10;71;24;17;49;123;102;2
5861326;5785642;5861326_5785642;1;8:10;52;52;69;48;125;103;2
5861326;5785643;5861326_5785643;1;8:10;68;48;67;34;129;107;2
5861326;5787544;5861326_5787544;1;8:10;11;76;43;24;118;92;2
5861326;5787545;5861326_5787545;1;8:10;28;36;84;53;119;93;2
5861326;5787546;5861326_5787546;1;8:10;49;19;30;48;123;96;2
5861326;5787547;5861326_5787547;1;8:10;47;56;20;28;129;109;2
5861326;5787548;5861326_5787548;1;8:10;66;78;71;43;125;105;2
5861326;5787549;5861326_5787549;1;8:10;64;49;32;89;129;109;2
5861326;5787550;5861326_5787550;1;8:26;51;23;61;16;173;163;1
5861326;5789447;5861326_5789447;1;8:10;28;37;82;67;86;59;2
5861326;5789448;5861326_5789448;1;8:10;90;41;65;58;90;63;2
5861326;5789449;5861326_5789449;1;8:10;37;84;50;48;92;66;2
5861326;5789450;5861326_5789450;1;8:10;20;35;46;58;122;95;2
5861326;5789451;5861326_5789451;1;8:10;41;77;57;49;122;96;2
5861326;5789452;5861326_5789452;1;8:10;31;36;16;57;122;102;2
5861326;5789453;5861326_5789453;1;8:10;40;80;14;45;123;103;2
5861326;5789454;5861326_5789454;1;8:10;40;57;22;21;124;104;2
5861326;5789455;5861326_5789455;1;8:10;25;17;76;22;126;107;2
5861326;5789456;5861326_5789456;1;8:26;85;31;64;22;171;161;1
5861326;5791353;5861326_5791353;1;8:10;56;70;14;23;94;67;2
5861326;5791354;5861326_5791354;1;8:10;27;25;55;44;90;64;2
5861326;5791355;5861326_5791355;1;8:10;41;31;76;54;87;60;2
5861326;5791356;5861326_5791356;1;8:10;86;74;71;45;87;61;2
5861326;5791357;5861326_5791357;1;8:10;52;62;50;23;89;62;2
5861326;5791358;5861326_5791358;1;8:10;21;90;69;55;121;101;2
5861326;5791359;5861326_5791359;1;8:10;42;87;61;52;118;98;2
5861326;5791360;5861326_5791360;1;8:10;31;12;81;34;119;99;2
5861326;5791361;5861326_5791361;1;8:10;79;50;80;65;124;104;2
5861326;5791362;5861326_5791362;1;8:10;67;61;85;83;128;108;2
5861326;5791363;5861326_5791363;1;8:26;36;68;25;27;171;161;1
5861326;5793258;5861326_5793258;1;8:10;88;60;60;13;99;72;2
5861326;5793259;5861326_5793259;1;8:10;70;14;18;78;95;68;2
5861326;5793260;5861326_5793260;1;8:10;85;78;12;15;95;69;2
5861326;5793261;5861326_5793261;1;8:10;39;64;50;63;85;58;2
5861326;5793262;5861326_5793262;1;8:10;90;57;11;43;83;57;2
5861326;5793263;5861326_5793263;1;8:10;70;23;78;86;84;57;2
5861326;5793264;5861326_5793264;1;8:10;84;29;66;43;114;94;2
5861326;5793265;5861326_5793265;1;8:10;47;45;69;29;115;95;2
